Business Date,CCP,Member,Account ID,Account Type,Product Type,Market,Currency,FX Rate,Collateral Type,Collateral Description,Market Value,Excess,Haircut
2020-12-04,OCC,00289,00289 C,Client,ETD,Cleared,USD,1,Cash,,251744595.00,0.00,0
2020-12-04,OCC,00289,00289 F,House,ETD,Cleared,USD,1,Cash,,33629595.00,0.00,0
2020-12-04,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 91282CAK7,199617320.40,0.00,1
2020-12-04,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 912828Q60,330026175.00,0.00,0.005
2020-12-04,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 912828R69,207222500.00,0.00,1
2020-12-04,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 912828X39,54423283.50,0.00,0.02
2020-12-04,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 912828YL8,269654852.50,0.00,0.02
2020-12-04,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 9128283Z1,110864475.00,0.00,1
2020-12-04,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 9128284U1,268428260.00,0.00,1
2020-12-04,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 9128285D8,108037088.00,0.00,1
2020-12-04,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 9128285M8,708839502.00,0.00,1
2020-12-04,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 9128285W6,240071852.00,0.00,0.035
2020-12-04,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP F21107101,26754818.40,0.00,0
2020-12-04,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G0457F107,1307116.40,0.00,0
2020-12-04,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G16234109,780024.60,0.00,0
2020-12-04,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G21082105,17977.20,0.00,0
2020-12-04,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G21515104,5475374.82,0.00,0
