Business Date,CCP,Member,Account ID,Account Type,Product Type,Market,Currency,IM,Realised VM,Other Cash,Contingent VM,Other Requirement,Cash Collateral,Non-Cash Collateral,Excess Cash Collateral,Excess Non-Cash Collateral,Default Fund
2020-12-04,CME,CSU,250,Client,ETD,,USD,-4559458931.97,128029668.07,0.00,0.00,0.00,4161937102.55,626624102.69,1693657.68,191879615.39,0.00
2020-12-04,CME,CSU,250,House,ETD,,USD,-268802487.78,-2524304.44,0.00,0.00,0.00,31145669.70,265749170.00,18902894.48,0.00,0.00
2020-12-04,CME,CSU,250SECR,House,ETD,,USD,0.00,0.00,0.00,0.00,0.00,0.00,162054040.00,0.00,0.00,-162054040.00
2020-12-04,CME,CSU,250F,Client,ETD,,USD,-4138200.00,344900.16,0.00,0.00,0.00,5419200.00,0.00,1281000.00,0.00,0.00
2020-12-04,CME,CSU,250I,Client,IRS,,USD,-2812065709.78,-16260224.03,0.00,0.00,0.00,573232532.08,3067838065.15,24809584.62,645881537.36,0.00
2020-12-04,CME,CSU,250I,House,IRS,,USD,-626333155.48,-52415939.08,0.00,0.00,0.00,263107.33,713622600.00,263107.33,38937153.13,0.00
2020-12-04,CME,CSU,250ISECR,House,IRS,,USD,0.00,0.00,0.00,0.00,0.00,0.00,404010520.00,0.00,0.00,-404010520.00
2020-12-04,CME,CSU,250T,Client,ETD,,USD,-3276761.05,460783.11,0.00,0.00,0.00,4472846.66,0.00,1147243.17,0.00,0.00
2020-12-04,CME,CSI,264,House,ETD,,USD,-491929441.31,-32269942.11,0.00,0.00,0.00,0.00,0.00,8194086.08,16191445.17,0.00
2020-12-04,CME,CSI,264I,House,IRS,,USD,-380687931.24,-4540382.59,0.00,0.00,0.00,0.00,0.00,2624352.29,0.00,0.00
