Business Date,CCP,Member,Account ID,Account Type,Product Type,Market,Currency,FX Rate,Product Description,Liability Type,Liability
2020-12-04,CME,CSU,250,Client,ETD,,AUD,0.7427764986,CURRENCY,BaseInitialMargin,-2520.00
2020-12-04,CME,CSU,250,Client,ETD,,CAD,0.7821666015,CURRENCY,BaseInitialMargin,-2500.00
2020-12-04,CME,CSU,250,Client,ETD,,CHF,1.1214534036,CURRENCY,BaseInitialMargin,-567000.00
2020-12-04,CME,CSU,250,Client,ETD,,EUR,1.2119743061,WEATHER,BaseInitialMargin,-1431750.00
2020-12-04,CME,CSU,250,Client,ETD,,GBP,1.3430029546,CURRENCY,BaseInitialMargin,-1435776.00
2020-12-04,CME,CSU,250,Client,ETD,,GBP,1.3430029546,WEATHER,BaseInitialMargin,-503700.44
2020-12-04,CME,CSU,250,Client,ETD,,JPY,0.0096006144,CURRENCY,BaseInitialMargin,-137987510
2020-12-04,CME,CSU,250,Client,ETD,,JPY,0.0096006144,EQUITY INDICIES,BaseInitialMargin,-2144687074
2020-12-04,CME,CSU,250,Client,ETD,,USD,1,AGRICULTURAL,BaseInitialMargin,-100043481.25
2020-12-04,CME,CSU,250,Client,ETD,,USD,1,COMEX,BaseInitialMargin,-282697919.00
2020-12-04,CME,CSU,250,Client,ETD,,USD,1,CURRENCY,BaseInitialMargin,-143893734.50
2020-12-04,CME,CSU,250,Client,ETD,,USD,1,DAIRY,BaseInitialMargin,-35488.00
2020-12-04,CME,CSU,250,Client,ETD,,USD,1,EQUITY INDICIES,BaseInitialMargin,-1954559189.00
2020-12-04,CME,CSU,250,Client,ETD,,USD,1,FOREST,BaseInitialMargin,-198000.00
2020-12-04,CME,CSU,250,Client,ETD,,USD,1,INTEREST RATE,BaseInitialMargin,-1731750478.69
2020-12-04,CME,CSU,250,Client,ETD,,USD,1,NYMEX,BaseInitialMargin,-317649655.00
2020-12-04,CME,CSU,250,Client,ETD,,USD,1,WEATHER,BaseInitialMargin,-1736250.00
2020-12-04,CME,CSU,250,House,ETD,,JPY,0.0096006144,EQUITY INDICIES,BaseInitialMargin,-3150000
2020-12-04,CME,CSU,250,House,ETD,,USD,1,COMEX,BaseInitialMargin,-43480595.00
2020-12-04,CME,CSU,250,House,ETD,,USD,1,EQUITY INDICIES,BaseInitialMargin,-204041693.00
2020-12-04,CME,CSU,250,House,ETD,,USD,1,INTEREST RATE,BaseInitialMargin,-21249957.85
2020-12-04,CME,CSU,250F,Client,ETD,,USD,1,Cleared OTC,BaseInitialMargin,-4138200.00
2020-12-04,CME,CSU,250I,Client,IRS,,AUD,0.7427764986,IRS,BaseInitialMargin,-3102726.29
2020-12-04,CME,CSU,250I,Client,IRS,,CAD,0.7821666015,IRS,BaseInitialMargin,-3966275.31
2020-12-04,CME,CSU,250I,Client,IRS,,CZK,0.045776437,IRS,BaseInitialMargin,-51156103.49
2020-12-04,CME,CSU,250I,Client,IRS,,EUR,1.2119743061,IRS,BaseInitialMargin,-203475905.65
2020-12-04,CME,CSU,250I,Client,IRS,,GBP,1.3430029546,IRS,BaseInitialMargin,-142189.38
2020-12-04,CME,CSU,250I,Client,IRS,,HKD,0.1290255987,IRS,BaseInitialMargin,-738653.83
2020-12-04,CME,CSU,250I,Client,IRS,,HUF,0.0033782642,IRS,BaseInitialMargin,-983906818.33
