Business Date,CCP,Member,Account ID,Account Type,Product Type,Market,Currency,FX Rate,Collateral Type,Collateral Description,Market Value,Excess,Haircut
2020-12-08,OCC,00289,00289 C,Client,ETD,Cleared,USD,1,Cash,,250689680.00,0.00,0
2020-12-08,OCC,00289,00289 F,House,ETD,Cleared,USD,1,Cash,,31716745.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 91282CAK7,199678701.60,0.00,1
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 912828Q60,330046467.00,0.00,0.005
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 912828R69,207220358.00,0.00,1
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 912828X39,54501626.50,0.00,0.02
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 912828YL8,270329355.00,0.00,0.02
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 9128283Z1,110979669.00,0.00,1
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 9128284U1,268488927.50,0.00,1
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 9128285D8,108052885.00,0.00,1
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 9128285M8,711583092.00,0.00,1
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Bond,CUSIP 9128285W6,241147148.00,0.00,0.035
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP B38564108,63504.80,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP F21107101,10496681.14,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G04553106,240261.45,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G0904B105,802474.40,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G16234109,790783.56,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G21515104,5501854.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G25839104,2032283.20,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G31249108,93387.75,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G4444C102,643494.20,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G45667105,196138.80,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G50744104,122740.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G5480U104,571575.48,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G5480U120,1492893.60,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G637AM102,136742.12,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G6564A105,152695.46,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G6855A103,262483.18,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G68707101,6026398.84,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP G81477104,777172.77,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP H01301128,17537477.76,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP H42097107,289206.06,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP H50430232,103288.32,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP M0854Q105,45865.20,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP M22465104,254325.40,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP M2682V108,46207584.60,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP M81873107,1458201.60,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP N07059210,17557317.90,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP N20944109,3492131.50,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP N22717107,237294.99,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP N44445109,341115.30,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP N5749R100,23073.16,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP N6596X109,7588468.44,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP N70544106,59312.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP N90064101,1260012.71,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP Y1968P121,191174.40,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP Y2188B108,61256.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP Y2573F102,1028026.12,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP Y8564M105,115332.08,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 00108J109,639730.94,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 00162Q106,243405.94,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 00162Q668,125443.72,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 00183L102,701060.64,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 00214Q104,44469.88,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 00214Q401,43098.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 00326L100,10961.13,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 00402L107,309560.16,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 012653101,89252166.90,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 01626L105,57305.16,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 02155H200,7021172.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 023111206,79366.80,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 02319V103,17474809.92,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 02364W105,206741.48,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 03212A105,275000.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 035128206,431107.32,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 03765K104,2932618.64,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 03835T200,34917.38,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 04010L103,314457.60,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 04271T100,48382.11,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 04746L104,123557.40,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 05366Y201,179648.10,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 0556EL109,359280.45,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 056752108,83405642.49,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 05946K101,9711660.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 05964H105,430068.30,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 05967A107,115368.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 06777U101,51676.65,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 08205P100,29325.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 08653C106,676794.44,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 088606108,6019660.35,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 09260D107,604953.15,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 10552T107,357952.36,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 109199109,130716.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 11135E104,286949.95,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 124765108,1015045.20,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 12529R107,102452.58,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 13057Q305,34367.40,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 135086106,77946.05,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 138006309,4000.26,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 14365C103,394219.03,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 150185106,5195770.60,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 15101Q108,44166.06,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 15117B202,149511.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 151290889,5839093.95,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 16679L109,13353317.35,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 16936R105,304096.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 169379203,28072.01,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 16945R104,249081.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 16954W101,837223.92,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 17133Q502,145307.68,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 18453H106,126645.09,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 191241108,59891.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 192010106,20056.44,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 202608105,54183.18,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 20451W101,98604.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 21241B100,928.40,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 21871N101,133614.85,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 22576C101,7130.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 226718104,471.50,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 233051879,25238788.53,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 24790A101,46431.42,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 249906108,380513.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 25459W458,21573.00,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 25459Y694,105613.99,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 25460G716,276464.20,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 25460G807,170555.66,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 25460G849,45729.20,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 25460G880,99498.60,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 25490K323,35394.84,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 256135203,48915.50,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 26152H301,61051.05,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 262077100,196.69,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 26818M108,829781.10,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 26853E102,27949.80,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 270087109,120603.35,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 27627N105,1731275.64,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 279158109,31991.75,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 284849205,975677.69,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 284902509,367508.70,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 29273V100,10578335.64,0.00,0
2020-12-08,OCC,00355,00355 C,Client,ETD,Cleared,USD,1,Security,CUSIP 292766102,583687.65,0.00,0
