Business Date,CCP,Member,Account ID,Account Type,Product Type,Market,Currency,FX Rate,Product Description,Liability Type,Liability
2020-12-07,CME,CSU,250,Client,ETD,,AUD,0.7423904974,CURRENCY,BaseInitialMargin,-2520.00
2020-12-07,CME,CSU,250,Client,ETD,,CAD,0.7813110399,CURRENCY,BaseInitialMargin,-2500.00
2020-12-07,CME,CSU,250,Client,ETD,,CHF,1.1225864392,CURRENCY,BaseInitialMargin,-569700.00
2020-12-07,CME,CSU,250,Client,ETD,,EUR,1.2112403101,WEATHER,BaseInitialMargin,-1431750.00
2020-12-07,CME,CSU,250,Client,ETD,,GBP,1.3381506758,CURRENCY,BaseInitialMargin,-1381376.00
2020-12-07,CME,CSU,250,Client,ETD,,GBP,1.3381506758,WEATHER,BaseInitialMargin,-502222.60
2020-12-07,CME,CSU,250,Client,ETD,,JPY,0.0096126117,CURRENCY,BaseInitialMargin,-135782489
2020-12-07,CME,CSU,250,Client,ETD,,JPY,0.0096126117,EQUITY INDICIES,BaseInitialMargin,-2069892956
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,AGRICULTURAL,BaseInitialMargin,-99287819.00
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,COMEX,BaseInitialMargin,-280428096.00
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,CURRENCY,BaseInitialMargin,-144408917.50
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,DAIRY,BaseInitialMargin,-35760.00
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,EQUITY INDICIES,BaseInitialMargin,-1980348958.50
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,FOREST,BaseInitialMargin,-186000.00
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,INTEREST RATE,BaseInitialMargin,-1742048382.64
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,NYMEX,BaseInitialMargin,-312920529.00
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,WEATHER,BaseInitialMargin,-1722000.00
2020-12-07,CME,CSU,250,House,ETD,,JPY,0.0096126117,EQUITY INDICIES,BaseInitialMargin,-12000000
2020-12-07,CME,CSU,250,House,ETD,,USD,1,COMEX,BaseInitialMargin,-46405578.00
2020-12-07,CME,CSU,250,House,ETD,,USD,1,EQUITY INDICIES,BaseInitialMargin,-230357464.00
2020-12-07,CME,CSU,250,House,ETD,,USD,1,INTEREST RATE,BaseInitialMargin,-20712674.10
2020-12-07,CME,CSU,250F,Client,ETD,,USD,1,Cleared OTC,BaseInitialMargin,-4138200.00
2020-12-07,CME,CSU,250I,Client,IRS,,AUD,0.7423904974,IRS,BaseInitialMargin,-3081150.24
2020-12-07,CME,CSU,250I,Client,IRS,,CAD,0.7813110399,IRS,BaseInitialMargin,-3950985.40
2020-12-07,CME,CSU,250I,Client,IRS,,CZK,0.0457347749,IRS,BaseInitialMargin,-51588388.25
2020-12-07,CME,CSU,250I,Client,IRS,,EUR,1.2112403101,IRS,BaseInitialMargin,-204119736.04
