Business Date,CCP,Member,Account ID,Account Type,Product Type,Market,Currency,FX Rate,Collateral Type,Collateral Description,Market Value,Excess,Haircut
2020-12-07,CME,CSU,250,Client,ETD,,AUD,0.7423904974,Cash,,503675.00,501155.00,0
2020-12-07,CME,CSU,250,Client,ETD,,CAD,0.7813110399,Cash,,44643.75,42143.75,0
2020-12-07,CME,CSU,250,Client,ETD,,CHF,1.1225864392,Cash,,64375.00,0.00,0
2020-12-07,CME,CSU,250,Client,ETD,,EUR,1.2112403101,Cash,,1258000.00,0.00,0
2020-12-07,CME,CSU,250,Client,ETD,,GBP,1.3381506758,Cash,,2967435.17,1083836.57,0
2020-12-07,CME,CSU,250,Client,ETD,,JPY,0.0096126117,Cash,,1842597161,0,0
2020-12-07,CME,CSU,250,Client,ETD,,SEK,0.1191114287,Cash,,117437.50,117437.50,0
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912796TY5,149991.70,0.00,0.005
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 9127962Q1,9996675.56,0.00,0.005
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 9127963K3,19181137.68,0.00,0.005
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 9127963T4,24644450.73,0.00,0.005
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810QA9,170527.50,0.00,0.08
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810RY6,249309.19,0.00,0.08
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810RD2,902890.80,0.00,0.08
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 91282CAE1,1114661.46,0.00,0.045
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810RP5,1614569.81,0.00,0.08
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810RB6,1705956.48,0.00,0.08
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810SD1,2115395.10,0.00,0.08
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810SH2,3255035.40,0.00,0.08
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810SS8,49301500.00,0.00,0.08
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828TE0,25210043.95,25210043.95,0.02
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828YL8,22699740.00,22699740.00,0.03
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810PZ5,20588549.52,17383487.13,0.045
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810QP6,12943000.00,0.00,0.08
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828V49,12636869.73,0.00,0.045
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828Q60,2598609.62,0.00,0.01
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828H45,1461216.00,0.00,0.03
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810RF7,1056837.95,0.00,0.08
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828X39,925291.14,0.00,0.02
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 9128285W6,742627.37,0.00,0.045
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 9128283R9,518858.84,0.00,0.045
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828S50,515248.80,0.00,0.045
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828Y38,391821.21,0.00,0.045
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828SA9,233609.14,0.00,0.02
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810PV4,124682.64,0.00,0.045
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810FR4,48502.50,0.00,0.03
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828QV5,21082.50,0.00,0.01
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 9128285M8,165828.60,0.00,0.045
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828XT2,153900.10,0.00,0.03
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 9128286B1,196203.80,0.00,0.045
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828Z94,390138.88,0.00,0.045
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 9128284V9,1620766.73,0.00,0.045
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828N30,3149520.00,0.00,0.02
