Business Date,CCP,Member,Account ID,Account Type,Product Type,Market,Currency,FX Rate,Product Description,Cash Movement Type,Cash Movement
2020-12-07,CME,CSU,250,Client,ETD,,AUD,0.7423904974,CURRENCY,RealisedVariationMargin,-25.00
2020-12-07,CME,CSU,250,Client,ETD,,AUD,0.7423904974,ETD,CashCollateralPosting,25.00
2020-12-07,CME,CSU,250,Client,ETD,,CAD,0.7813110399,CURRENCY,RealisedVariationMargin,-37.50
2020-12-07,CME,CSU,250,Client,ETD,,CAD,0.7813110399,ETD,CashCollateralPosting,37.50
2020-12-07,CME,CSU,250,Client,ETD,,CHF,1.1225864392,CURRENCY,RealisedVariationMargin,16350.00
2020-12-07,CME,CSU,250,Client,ETD,,CHF,1.1225864392,ETD,CashCollateralPosting,-16350.00
2020-12-07,CME,CSU,250,Client,ETD,,GBP,1.3381506758,CURRENCY,RealisedVariationMargin,78956.25
2020-12-07,CME,CSU,250,Client,ETD,,GBP,1.3381506758,ETD,CashCollateralPosting,-78956.25
2020-12-07,CME,CSU,250,Client,ETD,,JPY,0.0096126117,CURRENCY,RealisedVariationMargin,-10141250
2020-12-07,CME,CSU,250,Client,ETD,,JPY,0.0096126117,EQUITY INDICIES,RealisedVariationMargin,253385000
2020-12-07,CME,CSU,250,Client,ETD,,JPY,0.0096126117,ETD,CashCollateralPosting,-243243750
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,AGRICULTURAL,RealisedVariationMargin,-2124849.87
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,COMEX,RealisedVariationMargin,30045065.50
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,CURRENCY,RealisedVariationMargin,-4777229.15
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,DAIRY,RealisedVariationMargin,-4746.00
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,EQUITY INDICIES,RealisedVariationMargin,-16138560.17
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,FOREST,RealisedVariationMargin,64141.00
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,INTEREST RATE,RealisedVariationMargin,-53539646.48
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,NYMEX,RealisedVariationMargin,1257501.72
2020-12-07,CME,CSU,250,Client,ETD,,USD,1,ETD,BankTransfer,44690323.45
2020-12-07,CME,CSU,250,House,ETD,,JPY,0.0096126117,EQUITY INDICIES,RealisedVariationMargin,3482500
2020-12-07,CME,CSU,250,House,ETD,,JPY,0.0096126117,ETD,CashCollateralPosting,-3482500
2020-12-07,CME,CSU,250,House,ETD,,USD,1,COMEX,RealisedVariationMargin,1827929.73
2020-12-07,CME,CSU,250,House,ETD,,USD,1,EQUITY INDICIES,RealisedVariationMargin,17269103.50
2020-12-07,CME,CSU,250,House,ETD,,USD,1,INTEREST RATE,RealisedVariationMargin,-6436910.01
2020-12-07,CME,CSU,250,House,ETD,,USD,1,NYMEX,RealisedVariationMargin,-741980.80
2020-12-07,CME,CSU,250,House,ETD,,USD,1,ETD,BankTransfer,-4118142.42
2020-12-07,CME,CSU,250F,Client,ETD,,USD,1,Cleared OTC,RealisedVariationMargin,-252016.38
2020-12-07,CME,CSU,250F,Client,ETD,,USD,1,ETD,BankTransfer,252016.38
2020-12-07,CME,CSU,250I,Client,IRS,,AUD,0.7423904974,IRS,RealisedVariationMargin,504357.97
2020-12-07,CME,CSU,250I,Client,IRS,,AUD,0.7423904974,IRS,BankTransfer,-504357.97
2020-12-07,CME,CSU,250I,Client,IRS,,CAD,0.7813110399,IRS,RealisedVariationMargin,456896.89
2020-12-07,CME,CSU,250I,Client,IRS,,CAD,0.7813110399,IRS,BankTransfer,-456896.89
2020-12-07,CME,CSU,250I,Client,IRS,,CZK,0.0457347749,IRS,RealisedVariationMargin,-2382396.77
2020-12-07,CME,CSU,250I,Client,IRS,,CZK,0.0457347749,IRS,BankTransfer,2382396.77
2020-12-07,CME,CSU,250I,Client,IRS,,EUR,1.2112403101,IRS,RealisedVariationMargin,13948946.77
