Business Date,CCP,Member,Account ID,Account Type,Product Type,Market,Currency,IM,Realised VM,Other Cash,Contingent VM,Other Requirement,Cash Collateral,Non-Cash Collateral,Excess Cash Collateral,Excess Non-Cash Collateral,Default Fund
2020-12-08,CME,CSU,250,Client,ETD,,USD,-4496051103.00,-74467214.72,0.00,0.00,0.00,4189060916.47,556052670.87,1982495.13,212766199.26,0.00
2020-12-08,CME,CSU,250,House,ETD,,USD,-312469683.01,1493095.54,0.00,0.00,0.00,61954417.50,266235730.00,5861952.94,0.00,0.00
2020-12-08,CME,CSU,250SECR,House,ETD,,USD,0.00,0.00,0.00,0.00,0.00,0.00,162184740.00,0.00,0.00,-162184740.00
2020-12-08,CME,CSU,250F,Client,ETD,,USD,-4138200.00,-165528.00,0.00,0.00,0.00,5419200.00,0.00,1281000.00,0.00,0.00
2020-12-08,CME,CSU,250I,Client,IRS,,USD,-2818546138.89,19748451.89,0.00,0.00,0.00,503521728.63,3081103760.91,23654672.02,583163784.67,0.00
2020-12-08,CME,CSU,250I,House,IRS,,USD,-627957352.69,4733953.14,0.00,0.00,0.00,263107.33,720598120.00,263107.33,43740220.69,0.00
2020-12-08,CME,CSU,250ISECR,House,IRS,,USD,0.00,0.00,0.00,0.00,0.00,0.00,404440030.00,0.00,0.00,-404440030.00
2020-12-08,CME,CSU,250T,Client,ETD,,USD,-3301769.90,-155355.88,0.00,0.00,0.00,4640884.00,0.00,1339114.10,0.00,0.00
2020-12-08,CME,CSI,264,House,ETD,,USD,-469372933.18,-15773814.57,0.00,0.00,0.00,0.00,0.00,7461634.91,8085410.59,0.00
2020-12-08,CME,CSI,264I,House,IRS,,USD,-378283618.29,13580943.23,0.00,0.00,0.00,0.00,0.00,1480754.39,0.00,0.00
